timestamp_backend,timestamp_reasoner,timestamp_iot,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
2025-12-05:15-02-32,2025-12-05:15-02-32,2025-12-05:15-02-30,60.843,33.252,121,222,13,st_actOFF,st_washNO
2025-12-05:15-02-34,2025-12-05:15-02-33,2025-12-05:15-02-32,60.18,33.252,102,207,67,st_actOFF,st_washNO
2025-12-05:15-02-36,2025-12-05:15-02-36,2025-12-05:15-02-34,60.775,33.235,407,511,13,st_actOFF,st_washNO
2025-12-05:15-02-38,2025-12-05:15-02-38,2025-12-05:15-02-36,62.866,33.252,107,211,5,st_actOFF,st_washNO
2025-12-05:15-02-40,2025-12-05:15-02-40,2025-12-05:15-02-39,60.809,33.235,80,180,5,st_actOFF,st_washNO
2025-12-05:15-02-42,2025-12-05:15-02-42,2025-12-05:15-02-40,61.455,33.252,82,186,6,st_actOFF,st_washNO
2025-12-05:15-02-44,2025-12-05:15-02-44,2025-12-05:15-02-43,32.759,33.235,85,181,7,st_actOFF,st_washNO
2025-12-05:15-02-46,2025-12-05:15-02-46,2025-12-05:15-02-44,35.377,33.252,84,182,5,st_actOFF,st_washNO
2025-12-05:15-02-48,2025-12-05:15-02-48,2025-12-05:15-02-47,32.759,32.47,85,183,11,st_actOFF,st_washNO
2025-12-05:15-02-50,2025-12-05:15-02-50,2025-12-05:15-02-48,31.994,33.252,83,188,9,st_actOFF,st_washNO
2025-12-05:15-02-52,2025-12-05:15-02-52,2025-12-05:15-02-51,61.234,33.235,85,182,9,st_actOFF,st_washNO
2025-12-05:15-02-54,2025-12-05:15-02-54,2025-12-05:15-02-52,37.502,33.745,84,188,12,st_actOFF,st_washNO
2025-12-05:15-02-56,2025-12-05:15-02-56,2025-12-05:15-02-55,37.502,33.779,86,181,6,st_actOFF,st_washNO
2025-12-05:15-02-58,2025-12-05:15-02-58,2025-12-05:15-02-56,58.429,33.252,90,191,4,st_actOFF,st_washNO
2025-12-05:15-03-00,2025-12-05:15-03-00,2025-12-05:15-02-59,39.576,33.252,87,191,12,st_actOFF,st_washNO
2025-12-05:15-03-02,2025-12-05:15-03-02,2025-12-05:15-03-01,59.007,33.235,84,184,10,st_actOFF,st_washNO
2025-12-05:15-03-05,2025-12-05:15-03-04,2025-12-05:15-03-03,60.384,33.252,87,185,11,st_actOFF,st_washNO
2025-12-05:15-03-07,2025-12-05:15-03-06,2025-12-05:15-03-05,60.35,33.252,87,191,6,st_actOFF,st_washNO
2025-12-05:15-03-09,2025-12-05:15-03-08,2025-12-05:15-03-07,32.266,33.252,87,191,7,st_actOFF,st_washNO
2025-12-05:15-03-11,2025-12-05:15-03-10,2025-12-05:15-03-09,32.266,33.252,77,182,4,st_actOFF,st_washNO
2025-12-05:15-03-13,2025-12-05:15-03-12,2025-12-05:15-03-11,32.266,33.235,84,179,6,st_actOFF,st_washNO
2025-12-05:15-03-15,2025-12-05:15-03-14,2025-12-05:15-03-13,32.266,33.252,76,173,6,st_actOFF,st_washNO
2025-12-05:15-03-17,2025-12-05:15-03-16,2025-12-05:15-03-15,32.266,32.453,83,184,4,st_actOFF,st_washNO
2025-12-05:15-03-19,2025-12-05:15-03-18,2025-12-05:15-03-17,32.266,32.487,82,179,9,st_actOFF,st_washNO
2025-12-05:15-03-21,2025-12-05:15-03-21,2025-12-05:15-03-19,37.944,33.235,120,181,5,st_actOFF,st_washNO
2025-12-05:15-03-23,2025-12-05:15-03-21,2025-12-05:15-03-19,60.758,33.252,120,221,248,st_actOFF,st_washNO
2025-12-05:15-03-25,2025-12-05:15-03-24,2025-12-05:15-03-22,60.231,33.762,770,866,16,st_actOFF,st_washNO
2025-12-05:15-03-27,2025-12-05:15-03-27,2025-12-05:15-03-25,47.379,33.235,85,175,6,st_actOFF,st_washNO
2025-12-05:15-03-29,2025-12-05:15-03-28,2025-12-05:15-03-27,37.298,33.252,101,201,13,st_actOFF,st_washNO
2025-12-05:15-03-31,2025-12-05:15-03-31,2025-12-05:15-03-29,60.605,33.235,88,187,5,st_actOFF,st_washNO
2025-12-05:15-03-33,2025-12-05:15-03-33,2025-12-05:15-03-31,61.914,33.235,104,202,9,st_actOFF,st_washNO
2025-12-05:15-03-35,2025-12-05:15-03-34,2025-12-05:15-03-33,60.86,33.252,82,179,27,st_actOFF,st_washNO
2025-12-05:15-03-37,2025-12-05:15-03-37,2025-12-05:15-03-35,59.772,33.252,83,187,10,st_actOFF,st_washNO
2025-12-05:15-03-39,2025-12-05:15-03-38,2025-12-05:15-03-37,71.91,33.252,85,186,36,st_actOFF,st_washNO
2025-12-05:15-03-41,2025-12-05:15-03-41,2025-12-05:15-03-39,60.486,33.252,79,178,6,st_actOFF,st_washNO
2025-12-05:15-03-43,2025-12-05:15-03-42,2025-12-05:15-03-41,61.115,33.252,82,183,17,st_actOFF,st_washNO
2025-12-05:15-03-45,2025-12-05:15-03-45,2025-12-05:15-03-43,58.888,33.235,83,188,4,st_actOFF,st_washNO
2025-12-05:15-03-47,2025-12-05:15-03-46,2025-12-05:15-03-45,62.152,33.235,85,185,21,st_actOFF,st_washNO
2025-12-05:15-03-49,2025-12-05:15-03-49,2025-12-05:15-03-47,37.502,33.235,80,183,10,st_actOFF,st_washNO
2025-12-05:15-03-51,2025-12-05:15-03-50,2025-12-05:15-03-49,37.723,33.235,101,208,45,st_actOFF,st_washNO
2025-12-05:15-03-53,2025-12-05:15-03-53,2025-12-05:15-03-51,60.282,33.235,82,185,7,st_actOFF,st_washNO
2025-12-05:15-03-55,2025-12-05:15-03-54,2025-12-05:15-03-53,61.234,33.252,90,194,49,st_actOFF,st_washNO
2025-12-05:15-03-57,2025-12-05:15-03-57,2025-12-05:15-03-55,9.197,8.5,82,176,4,st_actON,st_washYES
2025-12-05:15-04-00,2025-12-05:15-03-59,2025-12-05:15-03-58,5.933,7.854,87,282,6,st_actON,st_washYES
2025-12-05:15-04-02,2025-12-05:15-04-01,2025-12-05:15-04-00,5.95,6.902,89,246,8,st_actON,st_washYES
